,X,Y,RSSI_AP1,RSSI_AP2,RSSI_AP3
179,-19,4,-42.55704196543415,-40.33299223588766,-74.71101000645952
180,-1,5,-35.81644866380495,-52.0,-66.6936525217336
181,-2,5,-36.33299223588766,-50.33299223588766,-67.0869987651923
182,-3,5,-38.6936525217336,-50.6936525217336,-66.55704196543414
183,-4,5,-42.0,-55.08699876519231,-65.0869987651923
184,-5,5,-38.937657827905774,-47.519551324113934,-64.6936525217336
185,-6,5,-39.854960744700506,-48.33299223588766,-65.51955132411395
186,-7,5,-35.64034143198975,-49.519551324113934,-66.6936525217336
187,-8,5,-36.33299223588766,-53.08699876519231,-70.33299223588766
188,-9,5,-34.557041965434145,-46.6936525217336,-70.6936525217336
189,-10,5,-34.557041965434145,-56.135141989091366,-70.13514198909137
190,-11,5,-36.0,-48.0,-69.0869987651923
191,-12,5,-37.08699876519231,-45.519551324113934,-74.57386091339968
192,-13,5,-37.08699876519231,-53.08699876519231,-78.71101000645952
193,-14,5,-38.0,-52.33299223588766,-78.93765782790578
194,-15,5,-36.74083166077803,-42.0,-71.10600533797233
195,-16,5,-38.0,-47.81644866380495,-78.34896394967114
196,-17,5,-41.08699876519231,-45.08699876519231,-72.96335257243821
197,-18,5,-40.0,-42.0,-76.6936525217336
198,-19,5,-41.51955132411394,-42.55704196543415,-74.93765782790578
199,-1,6,-35.086998765192305,-49.519551324113934,-68.13514198909137
200,-2,6,-36.85263186564026,-48.6936525217336,-66.33299223588766
201,-3,6,-41.51955132411394,-50.0,-65.51955132411395
202,-4,6,-42.01479085526344,-49.08699876519231,-63.81644866380495
203,-5,6,-42.0,-48.33299223588766,-63.08699876519231
204,-6,6,-40.6936525217336,-48.33299223588766,-64.13514198909138
205,-7,6,-38.0,-49.81644866380495,-65.51955132411395
206,-8,6,-37.08699876519231,-49.519551324113934,-66.0
207,-9,6,-36.937657827905774,-48.33299223588766,-67.0869987651923
208,-10,6,-37.51955132411394,-48.6936525217336,-69.51955132411393
209,-11,6,-36.6936525217336,-54.6936525217336,-73.0869987651923
210,-12,6,-37.08699876519231,-52.6936525217336,-72.33299223588766
211,-13,6,-36.6936525217336,-51.51955132411394,-73.51955132411393
212,-14,6,-38.0,-47.519551324113934,-69.2868646532889
213,-15,6,-36.47908685027868,-46.55704196543415,-76.13514198909137
214,-16,6,-38.0,-46.33299223588765,-73.10600533797233
215,-17,6,-38.0,-46.6936525217336,-75.64034143198975
216,-18,6,-38.937657827905774,-45.519551324113934,-75.81644866380495
217,-19,6,-41.08699876519231,-45.519551324113934,-78.47908685027869
218,0,-1,-38.0,-50.0,-68.85263186564026
219,-1,-1,-39.35486325106115,-46.0,-82.71101000645953
220,-2,-1,-37.51955132411394,-45.519551324113934,-70.6936525217336
