SSID,X,Y,RSSI (avg)
ESP_Beacon_three,-14,-6,-73.81644866380495
ESP_Beacon_three,-15,-6,-74.33299223588766
ESP_Beacon_three,-16,-6,-76.71101000645952
ESP_Beacon_three,-17,-6,-79.37508183878603
ESP_Beacon_three,-18,-6,-77.0869987651923
ESP_Beacon_three,-19,-6,-80.34896394967114
ESP_Beacon_three,0,-7,-76.6936525217336
ESP_Beacon_three,-1,-7,-76.47908685027869
ESP_Beacon_three,-2,-7,-75.35486325106115
ESP_Beacon_three,-3,-7,-69.51955132411393
ESP_Beacon_three,-4,-7,-74.33299223588766
ESP_Beacon_three,-5,-7,-71.81644866380495
ESP_Beacon_three,-6,-7,-73.53279080303808
ESP_Beacon_three,-7,-7,-70.33299223588766
ESP_Beacon_three,-8,-7,-72.47908685027869
ESP_Beacon_three,-9,-7,-73.0869987651923
ESP_Beacon_three,-10,-7,-71.51955132411393
ESP_Beacon_three,-11,-7,-75.51955132411395
ESP_Beacon_three,-12,-7,-73.27382993605391
ESP_Beacon_three,-13,-7,-74.33296227732625
ESP_Beacon_three,-14,-7,-73.02724017557728
ESP_Beacon_three,-15,-7,-74.0
ESP_Beacon_three,-16,-7,-75.10600533797233
ESP_Beacon_three,-17,-7,-71.81644866380495
ESP_Beacon_three,-18,-7,-74.95602057068756
ESP_Beacon_three,-19,-7,-74.39052334930021
